,title,channel_name,Description,Views,Time,Link
0,"$1 Vs $100,000,000 House!",MrBeast,"I can’t believe how expensive the last house is Buy Feastables this Halloween! Our limited edition trick or treat bags are now available at Walmart, Target, and Albertsons stores nationwide...",54M views,19 hours ago,https://www.youtube.com/watch?v=3ryID_SwU5E
1,The Ring of Fire: 2023 Annular Solar Eclipse (Official NASA Broadcast),NASA,"Watch live with us as a “ring of fire” eclipse travels across the United States on Oct. 14, 2023, from Oregon to Texas. This event occurs when the Moon passes directly in front of the...",8.6M views,Streamed 18 hours ago,https://www.youtube.com/watch?v=LlY79zjud-Q
2,My First Time Playing D&D,Jaiden Animations,roll for you to watch this video and say it was funny and great and jaiden is so awesome oh look at that a nat 20 Alpharad: https://www.youtube.com/@Alpharad Ranboo: https://www.youtube.com/c/Ranbo...,1.4M views,17 hours ago,https://www.youtube.com/watch?v=OQx7q6mwkV4
3,BAD BUNNY - MONACO (Official Video) | nadie sabe lo que va a pasar mañana,Bad Bunny,BAD BUNNY MONACO (Official Video) https://www.nadiesabeloquevaapasarmanana.com Suscríbete al canal: https://www.youtube.com/BadBunnyPR Más de Bad Bunny: nadie sabe lo que va a pasar mañana...,7.6M views,1 day ago,https://www.youtube.com/watch?v=_PJvpq8uOZM
4,Stanford Cardinal vs. Colorado Buffaloes | Full Game Highlights,ESPN College Football,"The Stanford Cardinal complete the largest comeback in school history by defeating the Colorado Buffaloes, 46-43, in double overtime. Shedeur Sanders threw for 400 YDS, 5 TD & 1 INT as Coach...",1.9M views,1 day ago,https://www.youtube.com/watch?v=BOjWDbuCNBA
5,my experience in the SCARIEST hotel ever,SocksStudios,https://socks.store/ get a shirt!!!! Watch 100 Hours in the World's Weirdest Hotels!!! https://youtu.be/D8u8j_N20Uk?si=0LBHSI2UtfYMex_W subscribe or HAVE TERRIBLE SLEEP FOR THE NEXT MONTH!!!...,301K views,19 hours ago,https://www.youtube.com/watch?v=m-dvENphSmU
6,"WARRIORS at LAKERS | NBA PRESEASON FULL GAME HIGHLIGHTS | October 13, 2023",NBA,"Never miss a moment with the latest news, trending stories and highlights to bring you closer to your favorite players and teams. Download now: https://app.link.nba.com/NBAapp The Golden State...",1.8M views,1 day ago,https://www.youtube.com/watch?v=FhI3nph0a60
7,Catch The Right Color Pokemon To Win,PM7,"First to catch the wrong color Pokemon 5 times loses! Play War Thunder for FREE with my link, and get a massive bonus pack including vehicles, boosters, and lots more! https://playwt.link/pm7...",187K views,20 hours ago,https://www.youtube.com/watch?v=JE22j-YbH0U
8,I Invited 100 Billionaires To My Birthday,Ryan Trahan,i'm an iPad kid,3M views,1 day ago,https://www.youtube.com/watch?v=xUmjpZSs5qA
9,I Survived 100 Days as a FIRE POKEMON in HARDCORE Minecraft,Fozo,"Today I had to survive 100 days in Minecraft as the Fire Pokemon, Charizard! I had to save all my fellow pokemon and our trainers, from an evil Gyarados! Will I be strong enough to defeat him?...",355K views,21 hours ago,https://www.youtube.com/watch?v=dJ3jUE-z2uM
10,Israeli military said its ground troops raided homes in Gaza | ITV News,ITV News,"On Friday, the Israeli military said ground troops entered the Gaza Strip and conducted house raids. In a statement, the army said it entered Gaza to battle Hamas terrorists, destroy weapons...",1.3M views,1 day ago,https://www.youtube.com/watch?v=EQSPMSXFnS8
11,The End of an Era: Why I'm Closing My Small Engine Repair Shop After 12 Years..(Medical Issues),Chickanic,"Thanks for tuning back into Chickanic! If you found this video helpful, please LIKE, SUBSCRIBE and COMMENT!! If you would like to show your support, find my Amazon Wish List HERE! https://www.ama...",374K views,22 hours ago,https://www.youtube.com/watch?v=Q-zav87N_BE
12,I Turned my Bed into a Fish Tank!,Ben Azelart,I Turned my Bed into a Fish Tank... the ending was crazy! Video inspired by: @AquariumInfo @drewdirksen Subscribe below! STAY WILD https://www.youtube.com/@StayWildVlogs CAM HUFF https://www.yo...,2.5M views,1 day ago,https://www.youtube.com/watch?v=GOUG2xcDwsc
13,Troye Sivan - One of Your Girls (Official Video),Troye Sivan,Get the album ‘Something to Give Each Other’ by Troye Sivan: https://troyesivan.lnk.to/SomethingToGiveEachOtherID Watch Troye’s Music Videos: https://youtube.com/playlist?list=PLCruzMXby65nw...,2.6M views,2 days ago,https://www.youtube.com/watch?v=ZhGl8McrOHo
14,Netherlands vs. France Highlights | European Qualifiers,FOX Soccer,Check out the best moments as the Netherlands and France faced off in the 2024 European Qualifiers. #FOXSoccer #Netherlands #France SUBSCRIBE to get the latest FOX Soccer content: http://foxs.pt/...,292K views,1 day ago,https://www.youtube.com/watch?v=Hcaw4mWlrHA
15,Arrests reported at Palestinian rally in Downtown Miami,CBS Miami,CBS News Miami's Ivan Taylor reported there had been four arrests at a pro-Palestinian rally in downtown Miami on Friday afternoon.,484K views,1 day ago,https://www.youtube.com/watch?v=jzPjV85nMl8
16,"Ice Spice, Rema - Pretty Girl (Official Music Video)",Ice Spice,Stream & Download Ice Spice & Rema’s “Pretty Girl” new single here: https://IceSpice.lnk.to/PrettyGirl Follow Ice Spice Everywhere: Facebook: https://www.facebook.com/icespicemusic1/...,2M views,1 day ago,https://www.youtube.com/watch?v=__ym7vClmp4
17,Colorado vs. Stanford Postgame Press Conference,BuffsTV,Coach Prime addresses the media after Friday night's game.,172K views,Streamed 1 day ago,https://www.youtube.com/watch?v=WtRr9R3VUAQ
